,Line,Group,Left,Right,ref_transcript,hyp_transcript,asr_hyp,interview_name,diff_name,diff_typ
0,382,ask <-> asked,ask , asked,aa-rev,amber,False,DCB_se3_ag4_m_02_5,stem_for_past_20e,morpho_syntax
1,496,them <-> them-,them , them-,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_red_form,morpho_syntax
2,743,about <-> about-,about , about-,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_red_form,morpho_syntax
3,235,a <-> uh,a , uh,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_lexical,morpho_syntax
4,42,where'd <-> where did,where'd , where did,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_contraction,reductions
5,336,where'd <-> where did,where'd , where did,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_contraction,reductions
6,386,where'd <-> where did,where'd , where did,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_contraction,reductions
7,106,um <-> uh,um , uh,aa-rev,amber,False,DCB_se3_ag4_m_02_5,filler_sub,verbatim
8,287,um <-> uh,um , uh,aa-rev,amber,False,DCB_se3_ag4_m_02_5,filler_sub,verbatim
9,380,um <-> uh,um , uh,aa-rev,amber,False,DCB_se3_ag4_m_02_5,filler_sub,verbatim
10,252,hm <-> ***,hm , ***,aa-rev,amber,False,DCB_se3_ag4_m_02_5,filler_del,verbatim
11,792,uh <-> ***,uh , ***,aa-rev,amber,False,DCB_se3_ag4_m_02_5,filler_del,verbatim
12,59,people <-> people-,people , people-,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_restart,verbatim
13,149,train <-> train-,train , train-,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_restart,verbatim
14,586,city <-> city-,city , city-,aa-rev,amber,False,DCB_se3_ag4_m_02_5,is_restart,verbatim
15,788,*** <-> lives-,*** , lives-,aa-rev,amber,False,DCB_se3_ag4_m_02_5,del_restart,verbatim
16,797,that's- <-> ***,that's- , ***,aa-rev,amber,False,DCB_se3_ag4_m_02_5,del_restart,verbatim
17,297,necklace <-> necklaces,necklace , necklaces,aa-rev,amber,False,ROC_se0_ag3_f_02_2,final_s_del_20a_21b,morpho_syntax
18,168,work <-> worked,work , worked,aa-rev,amber,False,ROC_se0_ag3_f_02_2,stem_for_past_20e,morpho_syntax
19,217,talk <-> talked,talk , talked,aa-rev,amber,False,ROC_se0_ag3_f_02_2,stem_for_past_20e,morpho_syntax
20,252,uh <-> a,uh , a,aa-rev,amber,False,ROC_se0_ag3_f_02_2,is_lexical,morpho_syntax
21,550,the <-> a,the , a,aa-rev,amber,False,ROC_se0_ag3_f_02_2,is_lexical,morpho_syntax
22,72,um <-> uh,um , uh,aa-rev,amber,False,ROC_se0_ag3_f_02_2,filler_sub,verbatim
23,143,um <-> uh,um , uh,aa-rev,amber,False,ROC_se0_ag3_f_02_2,filler_sub,verbatim
24,224,um <-> uh,um , uh,aa-rev,amber,False,ROC_se0_ag3_f_02_2,filler_sub,verbatim
25,328,um <-> uh,um , uh,aa-rev,amber,False,ROC_se0_ag3_f_02_2,filler_sub,verbatim
26,539,um <-> uh,um , uh,aa-rev,amber,False,ROC_se0_ag3_f_02_2,filler_sub,verbatim
27,48,was <-> was-,was , was-,aa-rev,amber,False,ROC_se0_ag3_f_02_2,is_restart,verbatim
28,75,sure <-> sure-,sure , sure-,aa-rev,amber,False,ROC_se0_ag3_f_02_2,is_restart,verbatim
29,213,everybody <-> everybody-,everybody , everybody-,aa-rev,amber,False,ROC_se0_ag3_f_02_2,is_restart,verbatim
30,241,you <-> you-,you , you-,aa-rev,amber,False,ROC_se0_ag3_f_02_2,is_restart,verbatim
31,450,we <-> we-,we , we-,aa-rev,amber,False,ROC_se0_ag3_f_02_2,is_restart,verbatim
32,330,they'll <-> they,they'll , they,aa-rev,amber,False,DCB_se2_ag3_m_03_2,future_ll_del_19c,morpho_syntax
33,494,i'll <-> i,i'll , i,aa-rev,amber,False,DCB_se2_ag3_m_03_2,future_ll_del_19c,morpho_syntax
34,459,type <-> types,type , types,aa-rev,amber,False,DCB_se2_ag3_m_03_2,final_s_del_20a_21b,morpho_syntax
35,375,them <-> the,them , the,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_red_form,morpho_syntax
36,102,they <-> i,they , i,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
37,576,*** <-> i,*** , i,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
38,584,a <-> an,a , an,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
39,586,i <-> ***,i , ***,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
40,592,a <-> the,a , the,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
41,614,*** <-> i,*** , i,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
42,620,*** <-> i,*** , i,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
43,640,*** <-> i,*** , i,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_lexical,morpho_syntax
44,409,that'll <-> that will,that'll , that will,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_contraction,reductions
45,233,um <-> uh,um , uh,aa-rev,amber,False,DCB_se2_ag3_m_03_2,filler_sub,verbatim
46,516,um <-> uh,um , uh,aa-rev,amber,False,DCB_se2_ag3_m_03_2,filler_sub,verbatim
47,64,uh <-> ***,uh , ***,aa-rev,amber,False,DCB_se2_ag3_m_03_2,filler_del,verbatim
48,454,uh <-> ***,uh , ***,aa-rev,amber,False,DCB_se2_ag3_m_03_2,filler_del,verbatim
49,209,you <-> you-,you , you-,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_restart,verbatim
50,595,for <-> for-,for , for-,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_restart,verbatim
51,624,remodeling <-> remodeling-,remodeling , remodeling-,aa-rev,amber,False,DCB_se2_ag3_m_03_2,is_restart,verbatim
52,79,a- <-> ***,a- , ***,aa-rev,amber,False,DCB_se2_ag3_m_03_2,del_restart,verbatim
53,4576,he <-> he's,he , he's,aa-rev,amber,False,VLD_se0_ag4_f_02_1,cop_aux_del_19a,morpho_syntax
54,5770,are <-> ***,are , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,cop_aux_del_19a,morpho_syntax
55,5774,are <-> ***,are , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,cop_aux_del_19a,morpho_syntax
56,5780,are <-> ***,are , ***,aa-rev,amber,False,VLD_se0_ag4_f_02_1,cop_aux_del_19a,morpho_syntax
57,7156,daughter <-> daughter's,daughter , daughter's,aa-rev,amber,False,VLD_se0_ag4_f_02_1,cop_aux_del_19a,morpho_syntax
