Line	Spkr	StTime	Content	EnTime
1	VLD_int_01	1.1270	Okay.	1.5654
2	VLD_int_01	1.5654	(pause 0.69)	2.2555
3	VLD_int_01	2.2555	So,	2.7264
4	VLD_int_01	2.7264	(pause 0.09)	2.8197
5	VLD_int_01	2.8197	tell me a little bit about	4.7536
6	VLD_int_01	4.7536	(pause 1.52)	6.2691
7	VLD_int_01	6.2691	growing up in Valdosta. You grew up, you said, in South Street.	9.0017
8	VLD_se0_ag4_f_02	9.3747	[Yeah.]	9.6853
9	VLD_int_01	9.3747	[Can] you describe your house for me?	10.7783
10	VLD_se0_ag4_f_02	11.7097	We had a small house at first, and then we moved	15.0204
11	VLD_se0_ag4_f_02	15.0204	(pause 0.41)	15.4354
12	VLD_se0_ag4_f_02	15.4354	to a larger house	16.6850
13	VLD_se0_ag4_f_02	16.6850	(pause 0.22)	16.9042
14	VLD_se0_ag4_f_02	16.9042	on South Street. /RD-ADDRESS-5/	19.2811
15	VLD_se0_ag4_f_02	19.2811	(pause 0.89)	20.1717
16	VLD_se0_ag4_f_02	20.1717	And we was about a block from my	22.5265
17	VLD_se0_ag4_f_02	22.5265	(pause 0.51)	23.0383
18	VLD_se0_ag4_f_02	23.0383	elementary school, which was South Street Elementary School.	26.4841
19	VLD_se0_ag4_f_02	26.4841	(pause 0.89)	27.3733
20	VLD_se0_ag4_f_02	27.3733	Walking distance.	28.6696
21	VLD_se0_ag4_f_02	28.6696	(pause 1.04)	29.7047
22	VLD_se0_ag4_f_02	29.7047	So, we went there	30.6839
23	VLD_se0_ag4_f_02	30.6839	(pause 0.13)	30.8145
24	VLD_se0_ag4_f_02	30.8145	I went to-	31.3787
25	VLD_se0_ag4_f_02	31.3787	(pause 0.27)	31.6492
26	VLD_se0_ag4_f_02	31.6492	there for, until I was seventh grade.	34.8787
27	VLD_se0_ag4_f_02	34.8787	(pause 0.63)	35.5129
28	VLD_se0_ag4_f_02	35.5129	Then we had	36.4221
29	VLD_se0_ag4_f_02	36.4221	(pause 0.08)	36.5049
30	VLD_se0_ag4_f_02	36.5049	go	36.7380
31	VLD_se0_ag4_f_02	36.7380	(pause 0.09)	36.8313
32	VLD_se0_ag4_f_02	36.8313	to /RD-SCHOOL-4/	38.4540
33	VLD_se0_ag4_f_02	38.4540	(pause 0.07)	38.5286
34	VLD_se0_ag4_f_02	38.5286	over on	39.0788
35	VLD_se0_ag4_f_02	39.0788	(pause 0.31)	39.3866
36	VLD_se0_ag4_f_02	39.3866	Troop Street.	40.2352
37	VLD_se0_ag4_f_02	40.2352	(pause 1.60)	41.8346
38	VLD_se0_ag4_f_02	41.8346	We walked there because there was no busses but we were close enough to walk to school.	47.0745
39	VLD_se0_ag4_f_02	47.0745	(pause 0.16)	47.2331
40	VLD_se0_ag4_f_02	47.2331	But some people didn't. They had to come from way cross town and	50.5006
41	VLD_se0_ag4_f_02	50.5006	(pause 0.41)	50.9156
42	VLD_se0_ag4_f_02	50.9156	Tom Town and everywhere, you know	52.9486
43	VLD_se0_ag4_f_02	52.9486	(pause 0.18)	53.1305
44	VLD_se0_ag4_f_02	53.1305	back over here.	54.0025
45	VLD_se0_ag4_f_02	54.0025	(pause 0.34)	54.3430
46	VLD_se0_ag4_f_02	54.3430	We only had two	55.3922
47	VLD_se0_ag4_f_02	55.3922	(pause 0.63)	56.0264
48	VLD_se0_ag4_f_02	56.0264	elementary school. That was Magnolia	58.1748
49	VLD_se0_ag4_f_02	58.1748	(pause 0.21)	58.3846
50	VLD_se0_ag4_f_02	58.3846	and South Street.	59.4431
51	VLD_int_01	60.2824	And neither of them are	61.3036
52	VLD_int_01	61.3036	(pause 0.31)	61.6114
53	VLD_int_01	61.6114	still.	62.1709
54	VLD_se0_ag4_f_02	62.7631	No.	63.1511
55	VLD_int_01	63.1511	/Uh/.	63.3423
56	VLD_int_01	63.3423	(pause 0.38)	63.7200
57	VLD_int_01	63.7200	[I've never] heard of South S-	64.7458
58	VLD_se0_ag4_f_02	63.8179	[No.]	64.0510
59	VLD_int_01	64.8904	South	65.3240
60	VLD_int_01	65.3240	(pause 0.13)	65.4546
61	VLD_int_01	65.4546	[Street School.]	66.2100
62	VLD_se0_ag4_f_02	65.4639	[Mm-hm.]	65.9115
63	VLD_se0_ag4_f_02	66.3452	Where I lived, So-	67.0260
64	VLD_se0_ag4_f_02	67.0260	(pause 0.40)	67.4223
65	VLD_se0_ag4_f_02	67.4223	South Street. Where the- where the south	69.2344
66	VLD_se0_ag4_f_02	69.2344	(pause 0.79)	70.0224
67	VLD_se0_ag4_f_02	70.0224	where'd you go down there, /over there/ Pineview?	72.1580
68	VLD_int_01	72.8341	Mm-hm.	73.3750
69	VLD_se0_ag4_f_02	73.4403	That's was South Street	74.7354
70	VLD_se0_ag4_f_02	74.7354	(pause 1.07)	75.8032
71	VLD_se0_ag4_f_02	75.8032	campus.	76.5213
72	VLD_se0_ag4_f_02	76.5213	(pause 0.38)	76.8990
73	VLD_se0_ag4_f_02	76.8990	They tore it down	78.0881
74	VLD_se0_ag4_f_02	78.0881	(pause 1.20)	79.2911
75	VLD_se0_ag4_f_02	79.2911	and put	79.7469
76	VLD_se0_ag4_f_02	79.7469	(pause 0.16)	79.9054
77	VLD_se0_ag4_f_02	79.9054	e-	80.0547
78	VLD_se0_ag4_f_02	80.0547	(pause 0.43)	80.4836
79	VLD_se0_ag4_f_02	80.4836	that school there.	81.4255
80	VLD_int_01	81.7240	Oh.	82.1436
81	VLD_se0_ag4_f_02	82.2182	[Mm-hm.]	82.6705
82	VLD_int_01	82.2695	[Okay.]	82.6705
83	VLD_int_01	83.2161	And,	83.8922
84	VLD_int_01	83.8922	(pause 0.11)	84.0041
85	VLD_int_01	84.0041	when you started going to schools, was it segregated?	86.1819
86	VLD_se0_ag4_f_02	86.8627	Yes.	87.8559
87	VLD_se0_ag4_f_02	87.8559	(pause 0.82)	88.6719
88	VLD_se0_ag4_f_02	88.6719	We didn't know anything about the other side of town. (laughing)	91.3993
