Line	Spkr	StTime	Content	EnTime
1	ATL_int_01	0.5098	Okay. We rolling back again.	2.0308
2	ATL_int_01	2.0308	(pause 0.43)	2.4587
3	ATL_int_01	2.4587	Yeah, yeah, so	3.2440
4	ATL_int_01	3.2440	(pause 0.21)	3.4516
5	ATL_int_01	3.4516	/you/ twenty-nine,	4.4385
6	ATL_int_01	4.4385	(pause 0.86)	5.2944
7	ATL_int_01	5.2944	you're a god.	6.1319
8	ATL_int_01	6.1319	(pause 1.23)	7.3657
9	ATL_int_01	7.3657	Let's see- um,	8.5979
10	ATL_int_01	8.5979	(pause 1.61)	10.2117
11	ATL_int_01	10.2117	and	10.6304
12	ATL_int_01	10.6304	(pause 0.16)	10.7898
13	ATL_int_01	10.7898	let's see, we was talking about something in the image.	13.1800
14	ATL_int_01	13.1800	(pause 0.59)	13.7678
15	ATL_int_01	13.7678	Why you don't have any kids right now?	15.2733
16	ATL_se0_ag1_m_04	16.9026	Man, cause that's a extra bill, man.	18.6284
17	ATL_int_01	18.8862	<exhale>	20.3040
18	ATL_int_01	20.3040	(pause 0.56)	20.8660
19	ATL_int_01	20.8660	You's a realist, boy.	21.9075
20	ATL_se0_ag1_m_04	22.7582	<laugh>	23.2016
21	ATL_int_01	23.7017	[Mm.]	24.0819
22	ATL_se0_ag1_m_04	23.9028	[It's a] extra bill, man. I don't need it right now, man. I don't need no kids.	28.0261
23	ATL_se0_ag1_m_04	28.6396	I mean, I ain't even ready to get married yet, so why would I bring a kid into this world? I mean, I grew up without my dad, and I finally moved to Georgia with my dad, but	36.3256
24	ATL_se0_ag1_m_04	36.3256	(pause 0.46)	36.7831
25	ATL_se0_ag1_m_04	36.7831	man, he was there	37.5616
26	ATL_se0_ag1_m_04	37.5616	(pause 0.42)	37.9844
27	ATL_se0_ag1_m_04	37.9844	like salt and pepper every now and then.	39.6600
28	ATL_int_01	39.8571	Mm-hm.	40.1048
29	ATL_se0_ag1_m_04	40.1092	But I don't wanna be that type of dad. I wanna be able to fully develop some time into my kids. And,	44.7216
30	ATL_se0_ag1_m_04	44.7216	(pause 0.40)	45.1238
31	ATL_se0_ag1_m_04	45.1238	you know, not saying I'm running from the responsibility, but like I said, I just know	48.6490
32	ATL_se0_ag1_m_04	48.6490	(pause 1.69)	50.3401
33	ATL_se0_ag1_m_04	50.3401	it's growth right now.	51.4331
34	ATL_se0_ag1_m_04	51.4331	(pause 0.25)	51.6806
35	ATL_se0_ag1_m_04	51.6806	I'm still growing in myself,	53.1810
36	ATL_se0_ag1_m_04	53.1810	(pause 0.37)	53.5522
37	ATL_se0_ag1_m_04	53.5522	still learning who I am,	54.8759
38	ATL_int_01	55.0460	[Mm-hm.]	55.3966
39	ATL_se0_ag1_m_04	55.2935	[hence] the name I am,	56.6391
40	ATL_se0_ag1_m_04	57.1650	you know what I'm saying, so.	58.4076
41	ATL_int_01	59.8518	[Man, we n-]	60.3571
42	ATL_se0_ag1_m_04	60.0117	[That's where I'm] at with it.	60.8546
43	ATL_int_01	60.9990	we need more people like you, man. I swear I- if I heard somebody else	65.1707
44	ATL_int_01	65.1707	(pause 0.52)	65.6862
45	ATL_int_01	65.6862	give that type of response for that question,	67.9534
46	ATL_int_01	67.9534	(pause 0.73)	68.6856
47	ATL_int_01	68.6856	I would feel perf-	69.5981
48	ATL_int_01	69.5981	(pause 0.16)	69.7580
49	ATL_int_01	69.7580	personally okay	70.9386
50	ATL_int_01	70.9386	(pause 0.16)	71.1036
51	ATL_int_01	71.1036	with, you know, the state of everything. But I don't see	73.9122
52	ATL_int_01	73.9122	(pause 0.12)	74.0359
53	ATL_int_01	74.0359	enough of that.	74.7990
54	ATL_int_01	74.7990	(pause 0.61)	75.4125
55	ATL_int_01	75.4125	And	75.9436
56	ATL_int_01	75.9436	(pause 0.89)	76.8304
57	ATL_int_01	76.8304	I be thinking like, damn, maybe I gotta get on this bitch	79.4497
58	ATL_int_01	79.4497	(pause 0.13)	79.5799
59	ATL_int_01	79.5799	just so I can	80.4845
60	ATL_int_01	80.4845	(pause 0.65)	81.1393
61	ATL_int_01	81.1393	give that type of answer because it's some real niggas out here, and I don't-	85.0460
